Serial,Role,Input,RoleRef,Probability Distribution
0,Web Developer,web developer new york august 2016 to april 2018 php mysql created third json xml built python django postgresql heroku improved assisted third august 2015 to august 2016 created coldfusion ms sql created ms sql monitored computer specialist south bronx september 2010 to august 2015 sma ipads a full school year created created computer engineering city college of the city university of new york june 2017 sql carlosgonzalez additional information skills sketch responsive design xml json bootstrap sql eclipse git gulp webpack,Web Developer,"{1: 0.07692307692307693, 5: 0.6153846153846154, 7: 0.15384615384615385, 9: 0.15384615384615385}"
1,Web Developer,more than 15 years march 2018 javascript created databases excel supported network software installations vba 2017 microsoft office head of it department department of it of ministry of education djibouti dj july 2013 to july 2014 100 000 programmer database administrator ministry of education september 2006 to july 2013 djibouti republic of djibouti 5th 9th 12th software javascript education bs computer science minnesota state university december 2017 computer science university of amiens june 2013 bachelor of education education university of djibouti june 2002 php wordpress c,Web Developer,"{1: 0.6153846153846154, 3: 0.07692307692307693, 4: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.07692307692307693, 8: 0.07692307692307693}"
2,Web Developer,stack web stack web stack web javascript react express node third crm new york ny june 2019 crm envision fundraising consultant new york ny january 2013 to january 2019 nyc javascript etl sql color information crm development three years crm guided the correctional association of new york new york june 2014 to july 2018 youtube seth troxler bbc radio 1 output ny june 2012 to january 2013 suzanne nossel u s robert f kennedy new york ny may 2011 to june 2012 oversaw raiser s edge the 1980s kerry kennedy co rfk young leaders grant writer database analyst americorps april 2009 may 2011 certificate in software development columbia university the city of new york new york ny january 2019 to june 2019 2004 links,Web Developer,"{7: 0.15384615384615385, 9: 0.8461538461538461}"
3,Web Developer,web pakistan march 2019 to june 2019 collaborate javascript javascript specification redesign assist web may 2016 february 2018 computer science university of gujrat 2015 licenses brand british council june 2017 to july 2018,Web Developer,"{7: 0.07692307692307693, 9: 0.9230769230769231}"
4,Web Developer,july 2019 social media digital marketing getting grandeur international school hikmah sports atlantis august 2018 to april 2019 managerial october 2017 to july 2018 mis excel media team volunteer the united foundation march 2017 to december 2017 social media managerial web developer june 2011 to august 2011 user interface khanate bengaluru april 2009 to august 2009 daily achievements 2 years the united foundation mpower breadbasket foundation community service neuro vision 20 a social organization basavanagudi graphic designer video education bachelor of engineering in information science and engineering pes institute of technology bengaluru june 2013 photoshop windows xp database management adobe illustrator adobe photoshop communications marketing management eclipse java microsoft office first 2007 2000 fedora programming languages english chinese,Web Developer,"{4: 0.07692307692307693, 7: 0.07692307692307693, 9: 0.8461538461538461}"
5,Web Developer,developer it professional campbellsville ky it professional 11 years us february 2018 keene s depot write windows develop mssql mysql sap business systems florida february 2017 to february 2018 sap the advanced manufacturing center lead application developer for manufacturing lead data sap resolve sap analyze florida february 2014 to february 2017 sql interfacing thomas april 2013 to february 2014 improve administer vmware data sql develop participate schedule monthly november 2010 april 2013 vmware datacenter sql design windows coordinate develop monthly quarterly education bs database sullivan university lexington ky march 2013 to february 2015 sullivan university september 2010 to march 2013 skills software web development 10 years xml json ajax php java python classic asp aws sql 2008 2016 ibm sap hana 2003 ibm,Web Developer,"{4: 0.07692307692307693, 5: 0.23076923076923078, 6: 0.46153846153846156, 7: 0.07692307692307693, 8: 0.07692307692307693, 9: 0.07692307692307693}"
6,Web Developer,january 2016 to april 2019 crm crm monitoring seo wordpress sites creating imacros cron researching coordinating collecting january 2014 to april 2015 filemaker design nese php javascript flash css adobe dreamweaver cs3 supervise filemaker sql mac os mac os troubleshoot create build coordinate june 2012 to september 2012 bootstrap correcting designs php develop runs vision research september may 2012 python distortion education bachelor s computer sciece university of massachusetts boston boston september 2008 may 2013 6 years 6 years html 6 years 3 years,Web Developer,"{4: 0.07692307692307693, 5: 0.07692307692307693, 7: 0.15384615384615385, 9: 0.6923076923076923}"
7,Web Developer,more than 17 years oracle january 2014 may 2019 to july 2019 faa api s javascript postgres developed api s and postgres designed alarm clock reminder react postgres axios javascript react modals www karmablades artisteer joomla and hikashop senior oracle database administrator dominion energy richmond va may 2001 2013 stats pack awr ash oem computer science longwood university 1996 skills database database oracle postgres ajax rman linux shell solaris sun rac asm data guard oracle performance sap b ools db artisan sql wordpress joomla python,Web Developer,"{1: 0.07692307692307693, 5: 0.15384615384615385, 7: 0.15384615384615385, 9: 0.6153846153846154}"
8,Web Developer,more than 17 years oracle january 2014 may 2019 to july 2019 faa api s javascript postgres developed api s and postgres designed alarm clock reminder react postgres axios javascript react modals www karmablades artisteer joomla and hikashop senior oracle database administrator dominion energy richmond va may 2001 2013 stats pack awr ash oem computer science longwood university 1996 skills database database oracle postgres,Web Developer,"{1: 0.07692307692307693, 7: 0.23076923076923078, 9: 0.6923076923076923}"
9,Web Developer,web developer 5 years user interface front end sass bootstrap angular web 2 web services restful api soap expertise javascript dom functions queries fluid layouts less sass javascript gulp safari google firebug microsoft edge adobe photoshop adobe illustrator adobe dreamweaver git tfs svn tortoise git experience expertise user interface functional sdlc november 2018 javascript es6 react desktop tablets mobile react using express node back end restful axios get post json ui working on react js virtual dom react tags using react js working on cross browser compatibility explorer firefox safari chrome using babel typescript javascript mocha using gitlab april 2018 to november 2018 desktop tablets mobile react materialize css leveraged react js keys router web used react router react used middleware redux promise back end restful axios ajax post put delete get json ui modal used react js cross browser compatibility explorer firefox safari typescript javascript jest used prepros scss december 2017 to march 2018 reactive ui jsx babel react js react single page application responsible ie developer tools firebug forms events keys router animations java api service implemented the drag and drop used webpack javascript developed ui components jasmine followed agile scrum scrum photoshop september 2017 to december 2017 responsibilities developed web mobile mobile application angular mvc router angular bootstrap npm typescript grunt bower restful web services json angular created images logos and icons adobe flash followed agile scrum used git environment html5 ajax json august 2015 to september 2017 mvc ui js ajax typescript angular 2 angular 2 javascript typescript sass bootstrap media queries phone tablets and desktop used react router typescript javascript sass created typescript restful angular built react js angular 2 0 developed angular grunt bower firebug http request used json json get post jquery ajax json bulk ajax using jasmine protractor followed agile github daily react js typescript jquery ajax bootstrap technologies pvt ltd july 2012 to october 2013 ui ui angular bootstrap angular js javascript framework angular js angular js interface angular jquery javascript jquery drag angular ajax angular javascript debug firebug nodes dom github electrical engineering in electrical engineering university of south florida tampa fl electronics and communication engineering in electronics and communication engineering basaveshwar engineering college skills visual html javascript json xml ajax css unit router eclipse frameworks json ajax ide,Web Developer,"{7: 0.6153846153846154, 9: 0.38461538461538464}"
